"PROVMUN,C,5","COUNT,N,11,0","AVE_OBJECT,N,18,4","SUM_SHAPE_,N,18,4","SUM_SHAPE_1,N,18,4","FIRST_NOMB,C,85"
"pepe","pepe","pepe","pepe","pepe","pepe"
"12029",1,6255,"43271,0707","43551097,8354","Benlloch"
"12031",1,6450,"37070,8941","60798132,4679","Borriol"
"12032",1,6669,"34742,7879","46749586,0954","Burriana"
"12033",1,6310,"50984,2191","132015747,215","Cabanes"
"12034",1,5851,"24383,2264","27481213,3967","C”lig"
"12036",1,5667,"44586,6809","68972900,9129","Canet lo Roig"
"12037",1,5545,"27462,5863","30777134,9828","Castell de Cabres"
"12038",1,5803,"44225,4973","66756442,856","Castellfort"
"12039",1,6739,"21666,3085","19276418,9622","Castellnovo"
"12040",2,"6591,5","61870,1577","109739840,2368","Castellæn de la Plana/Castellæ de la Plana"
"12041",1,6307,"44094,1775","37852151,3644","Castillo de Villamalefa"
"12042",1,5809,"57844,7912","102286253,942","Cat›"
"12043",1,6544,"47739,4093","62281592,7434","Caudiel"
"12044",1,5872,"39637,0959","93362441,002","Cervera del Maestre"
"12045",1,5691,"31635,4769","35113878,399","Cinctorres"
"12046",1,6478,"28405,8054","41246370,9034","Cirat"
"12048",1,6277,"43067,5865","80730387,4093","Cortes de Arenoso"
"12049",1,6397,"22055,7812","22068588,4609","Costur"
"12050",1,6010,"60942,0528","136910665,9","Coves de Vinrom” (les)"
"12051",1,6100,"86825,1793","116311469,48","Culla"
"12052",1,5739,"42920,2517","82341845,045","Chert/Xert"
"12053",1,6824,"15399,6087","13180264,2844","Chilches/Xilxes"
"12055",1,6241,"27999,8436","44338757,7409","Chodos/Xodos"
"12056",1,6743,"18531,4042","18369265,6441","Chævar"
"12057",1,6702,"18423,0388","18166021,8699","Eslida"
"12058",1,6552,"17047,9853","12041916,0814","Espadilla"
"12059",1,6512,"27118,4583","34897887,9373","Fanzara"
"12060",1,6403,"16601,6554","11936564,1553","Figueroles"
"12061",1,5553,"44577,8066","39174550,3839","Forcall"
"12063",1,6506,"15057,0596","7569355,9035","Fuente la Reina"
"12064",1,6558,"12863,0121","10849167,0315","Fuentes de Ayædar"
"12065",1,6648,"21342,2158","18110851,241","Gaibiel"
"12067",1,6786,"3264,1312","515335,6265","Geldo"
"12068",1,5501,"26767,9486","27023256,8407","Herb⁄s"
"12069",1,6585,"15161,8423","11805948,758","Higueras"
"12070",1,5838,"19368,2988","19500012,8813","Jana (la)"
"12071",1,6657,"56225,5124","78173636,5973","J⁄rica"
"12072",1,6300,"61162,2055","136753123,567","Lucena del Cid"
"12073",1,6436,"29684,4218","31283486,5315","Ludiente"
"12074",1,6841,"16912,427","10391734,2589","Llosa (la)"
"12075",1,5660,"22853,683","15104372,3381","Mata de Morella (la)"
"12076",1,6642,"17724,3112","14798543,2217","Matet"
"12077",1,6806,"16131,6475","14442399,8842","Moncofa"
"12078",1,6528,"29431,143","34165445,233","Montﬂn"
"12079",1,6448,"31271,6675","37649158,1665","Montanejos"
"12080",1,5485,"144448,6164","414217769,28","Morella"
"12081",1,6722,"10698,8591","7880901,4756","Navajas"
"12082",1,6712,"47104,374","50925339,6975","Nules"
"12083",1,5590,"28461,0503","44031384,7022","Olocau del Rey"
"12084",1,6538,"58653,3928","108352418,8","Onda"
"12085",1,6409,"25141,1348","26444674,5083","Oropesa del Mar/Orpesa"
"12087",1,5506,"23116,9594","14215659,8236","Palanques"
"12088",1,6599,"16470,6998","14416276,9216","Pav›as"
"12089",1,5993,"47523,0825","79176703,1224","Pe±›scola"
"12090",1,6551,"29098,6327","31640450,8045","Pina de Montalgrao"
"12091",1,5731,"43445,2761","49439795,6272","Portell de Morella"
"12092",1,6425,"30122,1671","42617997,4296","Puebla de Arenoso"
"12093",1,5486,"58001,8901","136400388,197","Pobla de Benifass” (la)"
"12094",1,6396,"27029,3671","25930157,464","Pobla Tornesa (la)"
"12095",1,6539,"13855,8135","8485312,8121","Ribesalbes"
"12096",1,5592,"42151,1489","75061275,8275","Rossell"
"12097",1,6741,"28143,3678","30369493,8373","Saca±et"
"12098",1,5916,"38667,3454","50221727,7002","Salzadella (la)"
"12099",1,5721,"31841,8687","36461392,1557","Sant Jordi/San Jorge"
"12100",1,5870,"34582,5515","64700751,1567","Sant Mateu"
"12101",1,5668,"24224,2219","21331415,1547","San Rafael del R›o"
"12102",1,6006,"36707,9179","66070918,4492","Santa Magdalena de Pulpis"
"12103",1,6118,"21933,9509","18631069,4612","Sarratella"
"12104",1,6742,"56655,6269","106181065,071","Segorbe"
"12105",1,6148,"41411,778","81902188,8779","Sierra Engarcerﬂn"
"12106",1,6772,"32573,0379","28866319,8882","Soneja"
"12107",1,6816,"12525,5085","8838534,0232","Sot de Ferrer"
"12108",1,6615,"20821,1361","22304334,7454","Sueras/Suera"
"12109",1,6618,"20448,4289","14563786,7817","Tales"
"12110",1,6698,"20819,3142","19734904,3673","Teresa"
"12111",1,5915,"33413,7987","42312240,2124","T›rig"
"12112",1,5581,"29302,5067","34206152,836","Todolella"
"12113",1,6494,"19886,7541","13580203,2748","Toga"
"12114",1,6660,"17156,0431","16776341,0654","Torﬂs"
"12115",1,6555,"55158,4445","110045194,13","Toro (El)"
"12116",1,6563,"21186,3186","21255157,0693","Torralba del Pinar"
"12117",1,6274,"22564,6289","30025405,3849","Torreblanca"
"12118",1,6499,"14818,7574","11737853,1234","Torrechiva"
"12119",1,6126,"14853,6474","11842035,1501","Torre d'En Besora (la)"
"12120",1,6215,"7343,9287","3198905,6786","Torre Endom⁄nech"
"12121",1,5688,"49177,8662","60041843,9019","Traiguera"
"12122",1,6279,"42534,5598","80549600,8904","Useras/Useres (les)"
"12123",1,6531,"9087,2269","4974235,5854","Vallat"
"12124",1,6306,"32072,8069","53139657,2627","Vall d'Alba"
"12125",1,6690,"20647,5534","21168024,0349","Vall de Almonacid"
"12126",1,6753,"36044,0731","67236119,6725","Vall d'Uixæ (la)"
"12127",1,5616,"44411,9162","91352558,0989","Vallibona"
"12128",1,6374,"44846,7921","70417040,644","Vilafam⁄s"
"12129",1,5933,"49260,2235","93820057,1516","Villafranca del Cid"
"12130",1,6253,"45564,8521","108760859,508","Villahermosa del R›o"
"12131",1,6621,"20462,8275","19537767,6559","Villamalur"
"12132",1,6201,"44007,9383","68426023,7071","Vilanova d'Alcolea"
"12133",1,6509,"12456,3177","6137383,003","Villanueva de Viver"
"12134",1,6073,"17717,7605","15825523,8031","Vilar de Canes"
"12135",1,6608,"33645,6047","55273686,3628","Villarreal/Vila-real"
"12136",1,6734,"11526,3039","6169970,7879","Vilavella (la)"
"12137",1,5571,"10292,9532","5216049,0474","Villores"
"12138",1,5727,"50692,5469","95483432,1908","Vinar?s"
